,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_max,hist_min,rcp45_mean,rcp45_std,rcp45_max,rcp45_min,rcp85_mean,rcp85_std,rcp85_max,rcp85_min,1990_2019_mean,1990_2019_std,1990_2019_min,1990_2019_max,shifting_rcp45,shifting_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,-0.02,0.33,0.77,-0.59,-0.38,0.29,0.35,-1.03,-0.7,0.43,0.24,-1.62,-0.13,0.3,-0.59,0.77,2.0,3.0
1,"Amchitka, AK, Site",AMC,AK,0.02,0.28,0.56,-0.51,0.49,0.26,1.06,-0.14,1.16,0.68,2.48,-0.03,0.13,0.26,-0.32,0.71,1.0,1.0
2,"Bluewater, NM, Disposal Site",BLU,NM,-0.02,0.33,0.8,-0.59,-0.38,0.28,0.35,-1.01,-0.69,0.43,0.23,-1.58,-0.13,0.3,-0.59,0.8,2.0,3.0
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,-0.02,0.27,0.49,-0.72,-0.1,0.28,0.8,-0.73,-0.61,0.68,0.59,-2.09,-0.03,0.3,-0.72,0.49,1.0,3.0
4,"Bronco, CO, Site",BRO,CO,-0.0,0.26,0.5,-0.5,-0.26,0.31,0.53,-1.21,-0.54,0.39,0.36,-1.42,-0.03,0.26,-0.5,0.5,2.0,3.0
5,"Burrell, PA, Disposal Site",BUR,PA,0.01,0.24,0.4,-0.56,0.3,0.36,1.2,-0.76,0.27,0.29,0.94,-0.59,0.01,0.25,-0.56,0.4,1.0,1.0
6,"Burris Park, CA, Site",BRP,CA,0.01,0.26,0.64,-0.63,-0.18,0.27,0.45,-0.71,-0.43,0.35,0.36,-1.37,0.0,0.24,-0.63,0.36,1.0,2.0
7,"Canonsburg, PA, Disposal Site",CAN,PA,0.0,0.21,0.35,-0.48,0.29,0.34,1.19,-0.59,0.24,0.28,0.83,-0.64,0.01,0.22,-0.48,0.32,1.0,1.0
8,"Casper, WY, Calibration Model",CSC,WY,-0.0,0.25,0.75,-0.46,-0.14,0.26,0.42,-0.9,-0.42,0.33,0.36,-1.2,-0.03,0.26,-0.46,0.75,1.0,2.0
9,"Central Nevada Test Area, NV",CNT,NV,0.01,0.24,0.73,-0.68,-0.21,0.28,0.78,-1.01,-0.51,0.36,0.32,-1.46,0.0,0.2,-0.68,0.32,1.0,3.0
10,"Colonie, NY, Site",CLN,NY,0.0,0.25,0.57,-0.37,0.26,0.35,1.32,-0.41,0.34,0.34,1.22,-0.48,0.02,0.25,-0.37,0.57,1.0,1.0
11,"Durango, CO, Disposal Site",DUD,CO,-0.01,0.3,0.64,-0.5,-0.22,0.27,0.56,-1.03,-0.42,0.37,0.23,-1.47,-0.05,0.26,-0.5,0.47,1.0,2.0
12,"Durango, CO, Processing Site",DUP,CO,-0.01,0.3,0.64,-0.5,-0.22,0.27,0.56,-1.03,-0.42,0.37,0.23,-1.47,-0.05,0.26,-0.5,0.47,1.0,2.0
13,"Edgemont, SD, Disposal Site",EDG,SD,-0.01,0.27,0.61,-0.49,-0.08,0.24,0.51,-0.62,-0.34,0.33,0.49,-1.09,-0.04,0.25,-0.49,0.57,1.0,2.0
14,"Falls City, TX, Disposal Site",FCT,TX,-0.02,0.3,0.57,-0.89,-0.29,0.31,0.53,-1.09,-0.54,0.35,0.22,-1.59,-0.03,0.31,-0.89,0.57,1.0,2.0
15,"Fernald Preserve, OH, Site",FER,OH,-0.0,0.25,0.5,-0.7,0.32,0.36,1.28,-0.52,0.26,0.37,1.11,-0.65,-0.05,0.27,-0.7,0.41,1.0,1.0
16,"Gasbuggy, NM, Site",GSB,NM,-0.01,0.32,0.58,-0.52,-0.32,0.28,0.46,-1.01,-0.63,0.4,0.03,-1.59,-0.07,0.29,-0.52,0.57,1.0,2.0
17,"George West, TX, Calibration Model",GWC,TX,-0.02,0.32,0.63,-0.84,-0.29,0.32,0.34,-1.04,-0.59,0.39,0.23,-1.74,-0.03,0.33,-0.84,0.63,1.0,2.0
18,"Gnome-Coach, NM, Site",GNO,NM,-0.01,0.29,0.67,-0.59,-0.36,0.28,0.45,-0.96,-0.57,0.39,0.18,-1.45,-0.06,0.29,-0.59,0.67,2.0,2.0
19,"Grand Junction Regional Airport, CO, Calibration Model",GAC,CO,-0.0,0.26,0.57,-0.46,-0.29,0.31,0.47,-1.16,-0.56,0.4,0.28,-1.48,-0.05,0.24,-0.46,0.39,2.0,3.0
20,"Grand Junction, CO, Calibration Model",GJC,CO,-0.0,0.26,0.61,-0.44,-0.31,0.3,0.54,-1.13,-0.61,0.4,0.21,-1.53,-0.05,0.23,-0.44,0.37,2.0,3.0
21,"Grand Junction, CO, Disposal Site",GRJ,CO,-0.01,0.27,0.62,-0.53,-0.29,0.29,0.47,-1.19,-0.54,0.39,0.22,-1.53,-0.06,0.24,-0.53,0.46,2.0,2.0
22,"Grand Junction, CO, Processing Site",GJT,CO,-0.0,0.26,0.57,-0.46,-0.29,0.31,0.47,-1.16,-0.56,0.4,0.28,-1.48,-0.05,0.24,-0.46,0.39,2.0,3.0
23,"Grand Junction, CO, Site",GJO,CO,-0.0,0.26,0.61,-0.44,-0.31,0.3,0.54,-1.13,-0.61,0.4,0.21,-1.53,-0.05,0.23,-0.44,0.37,2.0,3.0
24,"Grants, NM, Calibration Model",GNC,NM,-0.02,0.33,0.77,-0.59,-0.38,0.29,0.35,-1.03,-0.7,0.43,0.24,-1.62,-0.13,0.3,-0.59,0.77,2.0,3.0
25,"Green River, UT, Disposal Site",GRN,UT,-0.0,0.29,0.67,-0.48,-0.32,0.28,0.54,-1.15,-0.59,0.36,0.12,-1.46,-0.09,0.24,-0.48,0.5,2.0,3.0
26,"Gunnison, CO, Disposal Site",GUD,CO,-0.01,0.24,0.55,-0.45,-0.16,0.32,0.68,-1.07,-0.45,0.41,0.36,-1.48,-0.03,0.23,-0.45,0.48,1.0,2.0
27,"Gunnison, CO, Processing Site",GUP,CO,-0.01,0.25,0.62,-0.46,-0.13,0.32,0.73,-1.06,-0.41,0.4,0.38,-1.43,-0.03,0.22,-0.46,0.51,1.0,2.0
28,"Hallam, NE, Decommissioned Reactor Site",HAL,NE,0.0,0.19,0.38,-0.32,0.02,0.27,0.52,-0.77,-0.19,0.3,0.44,-1.11,-0.09,0.19,-0.59,0.36,1.0,2.0
29,"L-Bar, NM, Disposal Site",BAR,NM,-0.01,0.34,0.9,-0.58,-0.39,0.3,0.41,-0.98,-0.69,0.39,0.02,-1.59,-0.11,0.33,-0.58,0.9,2.0,2.0
30,"Laboratory for Energy-Related Health Research, CA, Site",LEH,CA,0.0,0.3,0.88,-0.74,-0.04,0.3,0.88,-0.64,-0.18,0.31,0.67,-1.04,-0.01,0.24,-0.74,0.47,1.0,1.0
31,"Lakeview, OR, Disposal Site",LKD,OR,0.0,0.29,0.65,-0.61,0.07,0.31,1.4,-0.61,-0.04,0.31,0.78,-0.64,0.02,0.23,-0.61,0.6,1.0,1.0
32,"Lakeview, OR, Processing Site",LKP,OR,0.0,0.29,0.65,-0.61,0.07,0.31,1.4,-0.61,-0.04,0.31,0.78,-0.64,0.02,0.23,-0.61,0.6,1.0,1.0
33,"Lowman, ID, Disposal Site",LOW,ID,0.01,0.28,0.62,-0.6,0.0,0.31,0.87,-0.6,-0.09,0.33,0.63,-0.99,0.02,0.24,-0.6,0.52,1.0,1.0
34,"Maxey Flats, KY, Disposal Site",MAX,KY,-0.0,0.27,0.51,-0.77,0.18,0.37,1.18,-0.68,0.29,0.36,1.1,-0.65,-0.01,0.3,-0.77,0.55,1.0,1.0
35,"Maybell West, CO, Disposal Site",MAW,CO,-0.01,0.25,0.56,-0.42,-0.24,0.34,0.57,-1.15,-0.59,0.4,0.4,-1.56,-0.03,0.23,-0.42,0.48,1.0,3.0
36,"Maybell, CO, Disposal Site",MAY,CO,-0.01,0.25,0.56,-0.42,-0.24,0.34,0.57,-1.15,-0.59,0.4,0.4,-1.56,-0.03,0.23,-0.42,0.48,1.0,3.0
37,"Mexican Hat, UT, Disposal Site",HAT,UT,-0.01,0.29,0.69,-0.51,-0.37,0.28,0.56,-1.22,-0.61,0.37,0.09,-1.66,-0.08,0.25,-0.51,0.46,2.0,3.0
38,"Monticello, UT, Disposal and Processing Sites",MNT,UT,-0.01,0.28,0.66,-0.55,-0.34,0.28,0.42,-1.16,-0.58,0.37,0.05,-1.57,-0.08,0.23,-0.55,0.48,2.0,3.0
39,"Monument Valley, AZ, Processing Site",MON,AZ,-0.01,0.29,0.7,-0.53,-0.38,0.27,0.47,-1.13,-0.62,0.38,0.15,-1.59,-0.08,0.25,-0.53,0.55,2.0,3.0
40,"Mound, OH, Site",MND,OH,-0.0,0.25,0.51,-0.65,0.31,0.36,1.23,-0.56,0.25,0.37,1.11,-0.65,-0.05,0.25,-0.65,0.39,1.0,1.0
41,"Naturita, CO, Disposal Site",NAD,CO,-0.0,0.27,0.68,-0.44,-0.32,0.29,0.55,-1.17,-0.56,0.39,0.27,-1.56,-0.06,0.22,-0.44,0.39,2.0,3.0
42,"Naturita, CO, Processing Site",NAP,CO,-0.01,0.26,0.66,-0.44,-0.27,0.28,0.57,-1.12,-0.52,0.38,0.21,-1.51,-0.06,0.22,-0.44,0.33,2.0,2.0
43,"Parkersburg, WV, Disposal Site",PKB,WV,-0.0,0.26,0.58,-0.75,0.22,0.36,1.03,-0.62,0.25,0.32,0.94,-0.75,0.02,0.29,-0.75,0.58,1.0,1.0
44,"Pinellas County, FL, Site",PIN,FL,-0.01,0.32,0.83,-0.68,0.16,0.28,0.86,-0.62,0.01,0.32,0.86,-0.79,-0.02,0.33,-0.68,0.83,1.0,1.0
45,"Piqua, OH, Decommissioned Reactor Site",PIQ,OH,0.0,0.23,0.45,-0.48,0.33,0.35,1.2,-0.5,0.29,0.38,1.12,-0.73,-0.06,0.24,-0.48,0.32,1.0,1.0
46,"Pre-Gondola and Trencher, MT, Site",PGD,MT,-0.01,0.3,0.54,-0.67,0.09,0.3,1.44,-0.51,-0.17,0.38,0.79,-1.44,-0.03,0.31,-0.67,0.54,1.0,1.0
47,"Pre-Schooner II, ID, Site",PSC,ID,0.01,0.3,0.81,-0.8,-0.06,0.28,1.05,-0.62,-0.31,0.33,0.44,-1.19,-0.01,0.27,-0.8,0.73,1.0,2.0
48,"Rifle New, CO, Processing Site",RFN,CO,-0.0,0.26,0.6,-0.39,-0.16,0.36,0.73,-1.07,-0.42,0.4,0.32,-1.38,-0.02,0.24,-0.39,0.49,1.0,2.0
49,"Rifle Old, CO, Processing Site",RFO,CO,-0.0,0.26,0.6,-0.39,-0.16,0.36,0.73,-1.07,-0.42,0.4,0.32,-1.38,-0.02,0.24,-0.39,0.49,1.0,2.0
50,"Rifle, CO, Disposal Site",RFL,CO,-0.0,0.26,0.61,-0.43,-0.16,0.36,0.76,-1.07,-0.42,0.4,0.41,-1.35,-0.01,0.24,-0.43,0.48,1.0,2.0
51,"Rio Blanco, CO, Site",RBL,CO,-0.0,0.26,0.49,-0.5,-0.24,0.31,0.47,-1.17,-0.5,0.39,0.38,-1.39,-0.03,0.25,-0.5,0.47,1.0,2.0
52,"Riverton, WY, Processing Site",RVT,WY,0.01,0.26,0.56,-0.59,-0.23,0.3,0.38,-1.12,-0.56,0.32,0.27,-1.14,-0.02,0.28,-0.59,0.56,1.0,3.0
53,"Rocky Flats, CO, Site",RFS,CO,0.0,0.26,0.57,-0.54,0.01,0.31,0.67,-0.71,-0.34,0.4,0.48,-1.32,-0.03,0.25,-0.54,0.47,1.0,2.0
54,"Rulison, CO, Site",RUL,CO,-0.0,0.25,0.53,-0.39,-0.22,0.34,0.62,-1.16,-0.48,0.41,0.24,-1.48,-0.02,0.23,-0.39,0.52,1.0,2.0
55,"Salmon, MS, Site",SAL,MS,-0.0,0.28,0.59,-0.64,0.1,0.29,0.73,-0.68,-0.05,0.33,0.66,-0.87,0.03,0.3,-0.64,0.59,1.0,1.0
56,"Salt Lake City, UT, Disposal Site",SLD,UT,0.01,0.26,0.61,-0.61,-0.21,0.29,0.68,-0.98,-0.52,0.35,0.42,-1.33,-0.03,0.25,-0.61,0.61,1.0,3.0
57,"Salt Lake City, UT, Processing Site",SLP,UT,0.01,0.27,0.84,-0.68,-0.17,0.33,1.02,-1.02,-0.42,0.39,0.38,-1.37,0.0,0.23,-0.68,0.38,1.0,2.0
58,"Sherwood, WA, Disposal Site",SHE,WA,-0.01,0.23,0.65,-0.5,0.04,0.36,0.87,-1.11,0.01,0.31,0.88,-0.77,-0.01,0.23,-0.5,0.65,1.0,1.0
59,"Shiprock, NM, Disposal Site",SHP,NM,-0.01,0.3,0.67,-0.55,-0.34,0.26,0.46,-1.07,-0.61,0.39,0.21,-1.54,-0.07,0.26,-0.55,0.57,2.0,-2.0
60,"Shirley Basin South, WY, Disposal Site",SBS,WY,-0.0,0.24,0.56,-0.44,-0.06,0.26,0.5,-0.7,-0.37,0.34,0.45,-1.1,-0.04,0.23,-0.44,0.56,1.0,2.0
61,"Shoal, NV, Site",SHL,NV,0.0,0.25,0.48,-0.68,-0.11,0.31,0.62,-1.04,-0.41,0.37,0.24,-1.55,-0.01,0.21,-0.68,0.46,1.0,2.0
62,"SiteAPlotM, IL, Decommissioned Reactor Site",SAM,IL,-0.01,0.24,0.61,-0.47,0.15,0.31,0.89,-0.63,0.09,0.33,0.85,-0.9,-0.05,0.27,-0.79,0.42,1.0,1.0
63,"Slick Rock East, CO, Processing Site",SRE,CO,-0.01,0.28,0.78,-0.44,-0.34,0.28,0.54,-1.18,-0.59,0.38,0.13,-1.59,-0.07,0.22,-0.44,0.37,2.0,3.0
64,"Slick Rock West, CO, Processing Site",SRW,CO,-0.01,0.28,0.78,-0.44,-0.34,0.28,0.54,-1.18,-0.59,0.38,0.13,-1.59,-0.07,0.22,-0.44,0.37,2.0,3.0
65,"Slick Rock, CO, Disposal Site",SRD,CO,-0.01,0.28,0.78,-0.44,-0.34,0.28,0.54,-1.18,-0.59,0.38,0.13,-1.59,-0.07,0.22,-0.44,0.37,2.0,3.0
66,"Spook, WY, Disposal Site",SPK,WY,-0.0,0.28,0.66,-0.48,-0.09,0.26,0.63,-0.71,-0.37,0.36,0.51,-1.12,-0.04,0.26,-0.48,0.66,1.0,2.0
67,"Tonopah Test Range, NV, Site",TTR,NV,0.0,0.24,0.45,-0.68,-0.22,0.28,0.44,-0.85,-0.56,0.37,0.26,-1.56,-0.02,0.22,-0.68,0.41,1.0,3.0
68,"Tuba City, AZ, Disposal Site",TUB,AZ,-0.01,0.27,0.6,-0.4,-0.37,0.26,0.44,-0.96,-0.66,0.38,0.04,-1.62,-0.08,0.24,-0.4,0.58,2.0,3.0
69,"Utah, UT, Site",UTA,UT,0.0,0.27,0.63,-0.5,-0.34,0.29,0.48,-1.26,-0.64,0.43,0.38,-1.48,-0.06,0.24,-0.5,0.41,2.0,3.0
70,"Weldon Spring, MO, Site",WEL,MO,-0.01,0.26,0.52,-0.54,0.12,0.35,1.08,-0.66,0.06,0.36,1.01,-0.73,-0.08,0.26,-0.7,0.52,1.0,1.0
