,NameMnemonic,1995_12mo_avg,1996_12mo_avg,1997_12mo_avg,1998_12mo_avg,1999_12mo_avg,2000_12mo_avg,2001_12mo_avg,2002_12mo_avg,2003_12mo_avg,2004_12mo_avg,2045_12mo_avg,2046_12mo_avg,2047_12mo_avg,2048_12mo_avg,2049_12mo_avg,2050_12mo_avg,2051_12mo_avg,2052_12mo_avg,2053_12mo_avg,2054_12mo_avg,2085_12mo_avg,2086_12mo_avg,2087_12mo_avg,2088_12mo_avg,2089_12mo_avg,2090_12mo_avg,2091_12mo_avg,2092_12mo_avg,2093_12mo_avg,2094_12mo_avg
0,AMB,16.2408078,14.95729213,15.94551104,15.52954143,16.41030553,15.73763321,20.05214088,17.91646421,15.30034925,15.09947379,14.59880334,17.46371761,19.69817272,18.97958733,17.97086561,16.07409467,17.58771158,18.73634836,18.22912218,15.56453024,19.18501018,20.39078082,19.37647009,22.107933,22.65871737,18.41070878,20.22937629,24.16275566,19.42820553,20.83362084
1,AMC,13.57369469,19.56463707,21.11670386,19.40537413,20.95664978,22.22667402,22.489953,21.5354254,21.06837305,17.67661349,19.50938229,20.40910991,18.1399659,18.89680804,18.89147241,19.39556307,20.90762326,20.1763485,22.45487835,20.76581929,21.72435791,28.94400055,29.19866415,30.80473505,30.00399807,28.63201918,31.34491206,30.49389458,30.49030412,26.64485379
2,BAR,13.64718983,12.11453389,11.88206892,13.87515627,12.70695587,12.57511174,17.18681268,13.95859169,13.54037243,11.60011857,12.11414802,14.91987296,16.97676428,16.29198191,14.97718551,12.93560691,14.15961345,16.14657221,15.42040151,12.66501687,17.12036012,18.40532483,16.64958734,17.98905787,18.98655506,16.48276657,16.69199475,21.65125889,17.55101386,17.96995454
3,BLU,17.25848534,16.41772506,16.77934304,16.73479284,17.05356268,16.97153109,21.08542911,19.57938749,16.09733322,17.09001239,16.03379679,19.20628159,21.09692632,20.59812673,20.0173357,17.195903,18.94360439,20.0607772,20.32251584,17.24853434,20.30000511,22.54401438,20.25801202,24.34894961,24.19799835,19.79915987,21.032742,25.42729028,21.59953899,23.19787865
4,BON,29.17853223,31.3895424,31.68724194,31.65371679,31.86859124,32.8517522,32.00542815,31.81190322,33.28892828,32.65977722,30.42605316,30.6722473,29.3844594,31.34502752,32.04641719,31.56089009,30.34802567,31.56431246,31.78955433,32.42150808,29.71820998,32.04422208,32.43832436,33.37322885,32.64675997,32.96905523,32.85344153,33.22095473,33.04856941,33.59818608
5,BUR,3.58321631,2.591029288,2.151398058,2.736759098,3.021449382,2.989922215,3.029958695,4.261023263,2.499236692,2.572618785,2.251047386,2.694062986,2.420736211,2.606915555,3.022134218,2.200006075,2.736096396,2.236774057,2.871086717,4.313470454,3.364683343,2.876608789,3.602445618,4.461551561,4.796660585,4.466446005,3.012121691,3.063396009,3.000257286,3.766235319
6,CAN,3.931564452,3.508721516,3.213061127,3.537657044,4.100681378,4.126987297,4.362622404,5.073313911,3.648263258,3.281198458,2.793191456,3.475218781,3.375605898,3.430737449,3.911782231,2.840183241,3.259440703,2.658986211,3.269472829,5.453537848,4.348827873,3.670133995,4.652343985,5.649507679,6.312639156,5.747571851,3.931510247,3.919659959,3.505250231,5.184394317
7,CNT,16.34191666,14.59413643,11.83191457,12.11701296,17.99617577,14.97362444,18.38572018,17.69337501,17.98248077,21.42777349,15.10821867,18.69023286,20.19215935,18.6014111,17.88365769,19.46794152,18.57591011,16.51897116,16.38619977,16.78096171,18.64552973,20.08472851,18.32063779,19.97299179,26.46400841,18.67017929,20.38022967,22.71360681,18.49960273,20.37459865
8,DUD,8.146726732,6.5923401,7.639082781,7.209645802,9.051847829,7.384122152,9.824021183,9.171493997,6.872331269,7.615167557,7.465344214,9.682647874,10.10783429,11.08458783,9.18702201,7.491831158,8.428692946,10.12505713,9.177585287,6.818661105,9.667850524,10.73003063,10.35124577,10.76557154,13.5222987,9.663486214,10.66078137,12.55829607,10.14194093,10.15322998
9,DUP,7.719402337,6.152513422,7.238561824,6.696641634,8.62831553,6.962875559,9.331481745,8.695621388,6.419960834,7.128773626,7.003032139,9.292923106,9.605762702,10.57465246,8.757473463,7.058715241,7.997207195,9.667969363,8.697178529,6.375621427,9.132772903,10.18599792,9.885151613,10.20357968,13.03608503,9.191797032,10.1735183,11.99571682,9.588077698,9.596052635
10,EDG,16.11147791,15.14386553,15.33333095,12.3200235,18.85170674,17.45238817,19.40789051,19.98960701,17.7855883,19.61435078,11.26329914,15.88461173,17.75503183,18.60776184,17.39409058,11.51243609,15.32548944,13.63330944,17.20344542,22.14918816,19.10759499,18.99398059,16.69260426,17.62261969,24.19567312,18.09860772,17.90482759,21.99923988,15.17559454,22.73381342
11,FCT,13.64530938,13.59098656,14.70656791,14.97738503,10.94496052,12.88535312,11.90206181,13.98441688,17.65739147,13.76780051,13.52088036,12.75198461,13.74690006,14.97419623,18.73370091,15.39545122,16.22862094,14.18140081,15.53286475,15.90733017,18.38475178,18.58809617,16.18121466,14.74214126,18.27974602,15.78177268,18.78368369,20.97982941,20.74497716,18.47766183
12,FER,5.550466834,4.8530443,4.874848041,6.285813986,7.161467016,7.14289669,7.336441631,7.802563276,6.928309246,5.849672335,4.323393817,6.693411492,4.994789261,5.780997599,6.077500118,4.64305132,5.216772764,4.780029843,4.52961727,8.748368777,7.473667091,5.875386529,8.274923271,8.760545852,10.32992229,9.477247499,5.936485874,6.379808938,6.413211947,8.504899933
13,GJO,17.46246439,13.98098522,13.65307335,14.24572495,16.84950018,17.09622705,18.27301777,16.79825066,15.74644487,18.73260793,14.06951864,17.97083929,19.49589081,17.80910996,18.55257166,15.06200451,15.73192508,16.91609051,16.21174379,15.84594102,18.56282873,19.32625571,17.99375198,18.04307623,22.88648105,18.46210576,18.67697097,21.42090743,17.31469603,19.32307255
14,GJT,17.94619253,14.52291992,14.0793203,14.86625378,17.47426888,17.73183964,18.54242914,17.50169873,16.36305834,19.37418929,14.52142417,18.36098205,19.92975712,18.35775082,18.99033978,15.6392115,16.24911671,17.35823332,16.74325148,16.60864538,19.09848597,20.04736303,18.6643848,18.5777794,23.1366889,18.85267043,19.07775393,21.97790304,17.81920622,20.00339365
15,GNO,20.4380004,22.17850849,20.67975289,25.49100736,19.39765994,21.15385867,23.13455489,17.83974273,25.82492905,20.98506579,20.9068252,23.98186628,25.37022497,23.75529628,24.42128015,22.51479413,23.63311696,22.42308283,26.94330956,26.01905382,28.16654988,25.52721518,27.01057149,22.61217834,26.65057023,25.24502332,28.08625916,29.6575302,27.22402853,29.58623144
16,GRJ,17.95831435,14.50192357,14.5749571,14.93224219,17.39415635,17.91572331,18.88156448,17.02889407,15.76373844,18.79587866,14.4711863,18.48816856,19.94972948,18.34739574,18.95487667,15.41592844,15.9152286,17.41132449,16.75438891,16.01912837,19.17903724,19.35794531,18.41997747,18.65660063,24.04297459,18.92179363,19.18830555,21.7798854,18.2233337,20.28317444
17,GRN,24.42896096,21.53173442,19.30512978,21.01357756,23.64153165,23.84848185,24.7433555,23.62534505,24.20159412,25.50842414,21.47442033,25.33797094,26.63617325,24.85834253,23.9933711,23.21558523,22.34807861,23.70743759,22.2593815,22.19239788,24.98365463,25.52839085,23.9262538,24.62348632,30.47882173,25.83925179,25.98717356,28.619617,24.35283716,26.98716777
18,GSB,10.79840044,9.121751584,10.1813477,10.03765759,11.34107171,9.974594093,13.06801731,11.70957634,9.624765314,10.812005,9.862186237,12.83479649,12.63307133,13.32485912,11.49673191,8.985604812,10.97238176,12.73960035,12.2144853,10.21125227,12.19336829,13.83043693,12.90239588,14.12093979,16.10074781,11.8147638,12.76865575,15.39464521,12.51947482,12.91953174
19,GUD,10.86038291,8.179404345,8.737552091,8.315239114,10.14891602,9.524189829,12.19958012,9.944299125,8.537721977,11.04389049,8.301346413,11.51585051,11.97721365,12.49351281,10.7856028,8.233019604,11.04913409,10.94785355,9.906304325,8.83013878,11.87155827,12.31426241,12.96620603,11.55250001,16.58224574,12.37646123,12.22651583,15.39174737,11.85066222,11.86009895
20,GUP,11.58877868,8.838852,9.299477561,8.913332834,11.2684935,10.3022772,13.0245731,10.34573026,9.013217142,11.08923908,8.692866341,11.98867834,12.31398603,12.64022875,11.0130119,8.474152574,11.25344108,10.98674384,10.21645263,9.186848142,12.31854964,13.10623217,13.47445451,12.02661421,16.66146689,12.74501551,12.52371794,15.29227597,12.12559818,12.2346661
21,HAL,14.27885564,13.11307694,17.24865577,16.76447804,17.23713631,15.92844918,16.70620715,20.33454048,19.01430972,14.92489472,7.632772958,14.64879734,12.43293617,14.70916026,12.88578497,7.003832959,10.63669999,8.864127153,10.98709095,24.59842131,14.24385754,14.38645189,13.01635737,12.18569573,16.2169277,17.54392335,15.28612674,15.15787569,15.92565246,23.81029175
22,HAT,22.80063366,20.12105702,20.26066975,20.26268274,23.1080763,20.96663722,23.5073372,23.69308819,21.10282152,23.59879198,21.28169896,24.35411757,24.97892531,24.43387974,23.01844979,22.63391242,22.01910658,23.93773238,23.49683283,20.62444957,24.01950755,25.91708485,23.6530375,25.90816153,29.2378123,22.39914183,24.58883432,28.67000601,24.34014795,27.78758687
23,LKD,9.986432311,9.073653081,7.034215255,7.765489362,9.975220945,9.153025889,7.865780967,10.24791644,9.769636433,13.27460141,8.47272566,10.62446975,11.22541772,9.976359643,8.875006145,8.210208338,9.660466525,7.837960142,9.873350121,11.99040916,10.62352489,12.61657973,9.872096468,11.13383169,12.9291185,12.47033634,11.62456702,10.69625395,11.68477731,9.623288334
24,LKP,10.22414426,9.183824115,7.15558095,7.761697197,10.47171077,9.263874505,7.971690702,10.25293014,9.883752291,13.60741929,8.770622914,10.91019768,11.28460934,10.09238638,9.043990914,8.474842715,9.646995084,8.086410813,10.02606176,12.16369422,10.67428689,12.83143339,10.27760839,11.34786264,13.10290968,12.5647785,11.9150287,10.91365642,11.65294599,9.664462829
25,LOW,8.533701834,7.215901493,7.182551957,7.468142378,9.422875824,10.02326997,6.781192297,8.699863804,9.493067393,12.91366083,7.300073058,10.03206336,10.18896347,8.929469571,9.069670831,7.393436805,8.705910684,7.531060232,9.015855068,11.19720415,8.600057484,11.86085939,10.72453708,10.61088317,12.61011752,11.01138526,11.13805165,9.49641548,9.34093837,9.516447196
26,MAW,16.36006726,14.31469647,11.92262706,14.10666593,15.10070515,15.52252244,18.41447167,15.07985222,15.14179402,18.01936116,12.67016878,17.83354335,18.98625617,17.40329369,17.56067773,14.38816997,14.97781983,14.76873591,14.02925241,15.38932878,17.43056092,18.46182484,17.43909515,15.25669534,22.53843987,16.68838634,18.791179,20.83332,16.13972308,18.11773021
27,MAY,16.31509424,14.28626844,11.87717766,13.98955741,15.06676364,15.48199961,18.35343642,15.01119835,15.0834736,18.00326379,12.62652784,17.79527343,18.94014131,17.34513769,17.53988547,14.37499805,14.94324511,14.71769221,13.991761,15.33389222,17.36556786,18.38660772,17.44165712,15.17623869,22.49300885,16.60042836,18.79922145,20.72749871,16.07093995,18.08451538
28,MND,5.078669681,4.721124975,4.709103717,5.865858929,6.706587876,6.989736096,7.681757102,8.254403853,6.994829579,5.675012552,4.218385656,5.798866376,4.991946959,5.495904359,5.678976254,4.546676257,5.205110125,4.509326649,4.153991201,8.708049736,7.16878898,5.648986558,7.909828935,8.524186727,10.07982101,9.221904971,5.867708089,6.071305094,5.841082234,8.657012357
29,MNT,12.51780265,9.011469841,10.39002617,9.716158421,13.13890747,10.62851822,13.54468784,12.50472033,10.2451504,11.33542307,9.734180993,13.06411323,14.64329003,14.0957407,12.93353834,11.40647471,12.03272434,13.89848397,11.99245836,9.64252984,13.58614651,13.77580673,13.20987489,13.69405509,18.16457814,12.57471988,14.05744302,16.51210691,12.98583018,14.60669439
30,MON,22.6118713,20.42204573,19.55029709,20.5049002,23.14587775,20.35642268,23.64357216,22.95556463,21.22716984,22.46648944,20.21095941,23.99957837,24.23599194,23.88081698,22.47640268,22.59245254,21.74438509,23.77277298,22.52916349,20.5039701,23.99885866,24.80319262,22.89719614,25.06986565,28.88010935,21.34510629,24.46030667,28.15440482,23.32438681,26.80280853
31,NAD,15.68191664,12.30112508,12.03212418,13.05071521,15.00496424,14.55479554,16.89752856,14.80221178,13.16476705,15.38521869,12.54124748,16.90848941,17.84347073,16.86050719,16.43772706,14.55892008,14.41505103,17.09247255,14.74363285,13.4170413,16.37069755,16.88622077,15.77243366,15.72694527,21.06120259,16.14625879,17.1297418,19.69869061,16.04084395,18.37693314
32,NAP,15.64560109,12.33196234,12.18630347,13.28477007,15.02389634,14.63941103,17.26779058,15.13750471,13.1809318,15.1938375,12.36724872,16.8998888,18.07830561,17.22994283,16.525834,14.50537427,14.09355443,17.19303986,14.59511572,12.92556957,16.77606884,16.67844699,15.94052345,15.84855713,21.64006022,15.94523928,17.26765179,19.40749632,16.22877358,18.9638454
33,PIN,7.611552174,6.972946533,6.900288392,5.110821603,7.031018644,6.849198271,5.636536464,6.470679048,5.997753535,5.219896903,7.228953044,6.58646216,6.238827837,6.222167168,6.940335084,7.395243731,7.400756422,8.536627442,6.848901945,5.152440755,7.662708466,7.730659614,7.536276982,7.202344296,8.50378892,7.874370942,8.216181002,6.134806401,7.952297926,5.437824563
34,PIQ,5.366129785,4.650110496,4.812038371,6.120769507,7.104187047,6.554528039,7.201111025,7.997287155,7.533987604,5.175207942,4.471092644,6.397390838,5.291023833,5.845251484,6.126576664,4.163637847,5.592304315,4.374237654,4.556268925,8.719128062,6.890590265,5.711780762,7.633614571,8.688614737,10.17049096,9.39134459,6.649357378,6.661924159,5.908916771,8.829765293
35,PKB,3.822500258,3.621108607,3.32809856,3.4413346,4.94342977,4.491157954,4.671178145,5.059477778,3.947390763,3.454788478,3.07511775,4.051216329,3.525138764,3.546160911,3.827096713,3.117579106,3.600247735,3.364102395,3.274670071,5.073713149,4.746445052,3.955706365,5.053104824,6.005045028,7.621481801,6.67727729,4.145667769,3.669577863,3.457247976,5.866002661
36,RBL,14.14268724,10.96511773,9.83295617,10.87757998,13.13912738,13.32962179,15.93491401,12.80252287,12.37064101,14.17368056,10.06978203,14.6367648,16.70211632,14.50530933,15.08618365,12.33836345,12.82107573,13.15766084,12.07884929,11.96376471,15.47030437,15.61163566,14.44366523,14.14525867,21.64603297,14.96277698,16.14262439,18.34163318,13.62250849,15.62660017
37,RFL,10.79436427,7.479835019,7.457438262,7.61215684,9.941530153,10.22239806,11.99749922,9.85011057,8.946604455,11.14847118,7.23683961,11.87868227,12.21905522,11.06252783,11.2566216,8.37065959,10.00510127,10.45561287,9.512150203,9.162615363,11.54090005,11.52129046,11.45001989,10.62959831,16.62561152,11.44256305,12.28260637,13.35216379,10.24578593,11.78895403
38,RFN,13.27661685,9.331983811,9.631287614,10.04388949,12.18746966,12.76727027,14.71033278,12.28823179,11.25588746,13.56585837,9.222016589,14.36501896,14.55657755,13.20547358,13.84442961,10.33575353,12.43501609,12.69348724,11.89627749,11.28723762,14.01972298,14.58526897,13.73741699,12.81307632,19.03026126,14.17718547,14.23930819,16.26648134,12.71804607,13.97852738
39,RFO,12.93094848,9.139205942,9.339673283,9.687936428,11.94908723,12.45137667,14.18829373,12.11439263,10.96857976,13.32316182,8.952785445,14.01106436,14.23415552,13.01395923,13.47070717,9.995312039,11.99226448,12.32040779,11.53303634,11.06301981,13.60050579,14.15687502,13.54352458,12.57089362,18.72755872,13.77504897,14.05517459,15.88873755,12.44355662,13.78675988
40,RFS,14.72774044,14.08644639,13.18801463,12.39601825,17.31370753,17.69029075,16.9471965,15.83057471,14.52835866,13.52272094,11.77983708,15.38496914,17.88362905,17.34778145,18.24474118,11.34223068,15.4604337,13.79659388,12.50980217,15.02635196,19.58881328,16.78901001,15.0730758,14.67501984,24.31753132,18.53390034,19.54008617,21.2122135,19.6732503,21.91108985
41,RUL,12.72308166,9.592853717,8.6043675,9.034829025,11.6327675,11.50882492,13.94766859,11.44276291,10.7660276,12.19171356,9.524679436,13.85942577,14.26398076,12.91751864,13.18999143,10.18266681,11.61942595,11.92717394,11.12421671,9.905696344,13.07403769,13.37698836,12.96890489,12.36621385,19.56480091,12.79425258,14.10587415,16.5010111,12.32291691,13.62199793
42,RVT,17.74106108,18.16522883,15.95199378,13.83960236,17.00584916,19.32034328,18.37549639,17.27073596,16.97037013,19.2478938,14.72916824,16.06050769,20.34687055,18.67712145,18.68106622,13.73768179,16.74570594,13.42168571,15.79868056,17.95852603,18.46401471,20.12845484,19.05408751,17.80042716,22.5733788,17.87473682,20.17370739,21.34384565,17.95383217,20.78836624
43,SAL,6.638485293,5.060838973,5.006463382,5.629591012,6.143259558,5.922847152,5.800954898,5.267843754,6.070032581,4.591156999,5.737832706,6.288433325,6.406313688,6.585558663,7.559007929,5.730458668,6.765115395,6.846768892,4.674098565,4.9229895,8.732098633,9.17208523,7.428665631,7.849472187,8.577276642,7.099358084,7.312663346,6.575768498,6.013210569,6.868938449
44,SAM,7.147838129,7.388059075,9.93562249,10.2985455,11.58510665,10.31467033,10.19091861,12.31000833,11.34696591,9.530424147,6.810315938,8.819085274,7.151553375,7.514086709,9.043181145,5.269609831,8.265915937,6.179493671,7.564418343,13.14648526,9.674018578,10.20567116,11.17676178,11.11614846,10.72305591,12.86485059,8.707951889,9.710772567,9.405116783,12.94174781
45,SBS,12.99038613,13.54476079,12.0803375,9.538628548,13.96321727,16.29831589,16.63066589,14.2914092,13.49059147,15.71202175,9.792204192,14.01836629,15.99968693,15.45197586,16.09021437,11.31785151,12.03563303,10.96474341,12.74701947,13.66623,14.6194599,16.58271602,13.92000536,14.28051512,22.41669146,12.96155689,16.04121615,20.74431889,13.48028494,16.39906747
46,SHE,11.28106018,9.956576412,12.42874057,10.0945451,12.08689491,12.07688321,10.20634771,12.63662048,14.07912532,17.13851055,11.17985771,11.07237873,12.37403972,11.06774999,12.20974561,10.12615156,12.72881572,10.18825783,12.95856463,13.94690697,11.10699077,13.92164042,13.2860129,14.41867559,11.90126022,12.98820011,13.54790254,10.54875858,11.60215961,12.38197513
47,SHL,20.41169169,17.94598223,15.3990854,14.55006135,22.72203294,18.43323064,20.53676994,21.46176548,19.77421255,23.93733141,18.2756135,20.6447846,21.94025943,19.37050852,19.876672,18.5822926,20.28412511,18.30203593,18.57845073,20.04341541,20.39384413,22.86477446,21.41771998,21.80017765,24.69903466,21.35356411,21.91317228,22.15448857,19.3108456,20.11017218
48,SHP,19.39479384,18.11796556,18.47608041,18.972993,20.66689666,19.20101379,21.55537247,22.57621546,18.13211468,20.01958931,18.84425007,21.23891238,22.92873647,22.77398277,22.00538777,19.0106799,20.29427129,21.36824353,22.35911743,19.78303667,23.25791863,23.43411441,21.81815695,23.92845942,27.00150795,20.42444545,21.52636246,25.97699236,22.58552861,26.17564099
49,SLD,22.44384749,20.86892708,18.96123916,18.76150794,21.82579145,22.72979059,21.44431987,22.01930921,22.76905838,27.12135677,18.83431775,22.09466992,24.675273,22.86043775,22.96422969,20.3710911,21.54498064,19.9713122,21.25233432,23.77590695,23.10719923,24.72256877,26.00327913,24.91323912,28.66809783,23.6100421,23.9055507,24.14579371,21.77837256,24.77178132
50,SLP,17.73198335,16.54159152,14.53527125,14.34925052,18.31608137,18.28816986,17.43571879,18.42167153,18.2044863,22.85436217,15.19317387,17.72124363,22.28655375,19.71928484,20.12451245,18.2540468,17.4726543,16.43157064,16.97171396,19.88474733,19.20268792,21.89230018,21.17430257,20.45385028,25.93868305,21.32436746,20.59577038,21.41367951,17.01413862,20.9759551
